EMA_Fast,EMA_Slow,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown,Time in Market %,Final Value ($100),Total Days
10,20,2.81,6.49,0.433,11.26,12.53,118.89,1572
5,100,2.73,6.85,0.398,10.85,13.61,118.3,1572
10,30,2.28,6.43,0.354,10.9,12.09,115.09,1572
5,50,2.21,6.56,0.337,10.86,12.72,114.61,1572
10,100,1.94,6.5,0.299,9.57,12.47,112.74,1572
10,50,1.78,6.74,0.264,10.57,12.91,111.63,1572
10,200,1.73,6.72,0.257,13.71,12.4,111.26,1572
5,20,1.71,6.99,0.245,10.95,14.31,111.16,1572
5,30,1.61,6.68,0.241,11.03,13.23,110.5,1572
20,100,1.32,6.53,0.202,10.03,12.85,108.54,1572
30,50,1.23,6.51,0.189,9.31,12.53,107.92,1572
5,10,1.09,6.79,0.16,11.92,13.87,106.99,1572
20,30,1.06,6.61,0.16,18.24,12.21,106.78,1572
20,50,0.93,6.71,0.139,16.84,12.09,105.97,1572
30,100,0.93,6.7,0.138,11.83,12.98,105.92,1572
50,100,0.76,6.32,0.12,14.6,11.77,104.84,1572
5,200,0.59,6.92,0.086,11.98,13.49,103.77,1572
20,200,0.18,6.54,0.028,12.61,11.9,101.13,1572
100,200,-0.38,6.41,-0.06,13.61,11.45,97.64,1572
50,200,-0.69,6.57,-0.105,14.1,12.34,95.77,1572
30,200,-1.02,6.71,-0.152,14.53,12.66,93.81,1572
