MA_Fast,MA_Slow,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown
50,100,1.15,1.26,0.918,0.96
30,100,1.09,1.26,0.872,0.96
5,100,0.95,1.21,0.785,0.98
10,100,0.91,1.21,0.746,0.98
10,30,0.83,1.17,0.705,1.12
5,30,0.82,1.2,0.687,1.11
20,100,0.85,1.24,0.685,1.08
100,200,0.8,1.34,0.595,1.36
50,200,0.8,1.34,0.595,1.36
30,200,0.8,1.34,0.595,1.36
20,200,0.8,1.34,0.595,1.36
10,200,0.77,1.34,0.574,1.36
5,50,0.67,1.19,0.558,1.11
10,50,0.66,1.2,0.552,1.09
20,50,0.64,1.18,0.543,1.01
20,30,0.63,1.21,0.526,1.11
5,200,0.66,1.32,0.498,1.29
30,50,0.56,1.18,0.475,1.01
10,20,0.56,1.22,0.455,1.48
5,10,0.51,1.18,0.431,1.24
5,20,0.33,1.2,0.277,1.41
