EMA_Fast,EMA_Slow,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown,Time in Market %,Final Value ($100),Total Days
5,20,10.9,11.71,0.93,25.5,68.77,191.66,1585
5,30,9.74,11.99,0.813,19.41,69.91,179.45,1585
10,20,9.08,12.05,0.753,20.63,69.21,172.7,1585
10,30,8.83,11.89,0.742,22.27,69.59,170.22,1585
5,10,8.17,11.41,0.716,28.23,67.13,163.89,1585
10,100,7.66,12.18,0.629,34.44,74.01,159.07,1585
5,100,7.55,12.09,0.624,31.03,74.13,158.04,1585
10,50,6.88,11.93,0.577,21.59,71.61,152.0,1585
30,50,7.26,12.77,0.568,37.79,74.7,155.38,1585
5,50,6.64,11.71,0.567,25.52,70.66,149.8,1585
30,100,7.2,13.42,0.536,37.29,75.02,154.81,1585
20,100,6.76,12.78,0.529,43.62,75.39,150.86,1585
50,100,6.85,14.36,0.477,31.47,74.2,151.7,1585
5,200,6.0,12.73,0.472,41.79,76.4,144.28,1585
20,30,5.02,11.95,0.42,28.01,70.98,136.07,1585
20,50,4.98,12.32,0.405,38.86,72.74,135.79,1585
20,200,5.2,14.23,0.365,32.44,76.03,137.57,1585
10,200,4.03,13.31,0.302,43.48,75.96,128.18,1585
50,200,4.55,16.09,0.283,38.55,77.79,132.26,1585
30,200,3.78,15.53,0.244,38.3,77.16,126.31,1585
100,200,3.53,17.1,0.206,37.52,77.35,124.39,1585
