MA_Fast,MA_Slow,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown,Long %,Short %,Final Value ($100),Total Days
5,20,16.23,20.7,0.784,37.77,66.67,33.33,228.73,1386
10,100,5.21,20.73,0.252,47.11,72.29,27.71,132.25,1386
10,50,5.04,20.73,0.243,36.98,69.41,30.59,131.08,1386
10,20,4.11,20.73,0.198,33.41,67.53,32.47,124.81,1386
5,50,2.58,20.73,0.124,46.34,69.41,30.59,115.04,1386
100,200,2.52,20.73,0.122,35.63,74.1,25.9,114.69,1386
50,200,2.42,20.73,0.117,42.94,74.53,25.47,114.03,1386
5,30,2.32,20.73,0.112,35.71,67.89,32.11,113.45,1386
10,200,1.53,20.73,0.074,35.91,75.18,24.82,108.69,1386
5,100,0.62,20.73,0.03,46.57,72.44,27.56,103.44,1386
30,100,0.28,20.73,0.013,47.38,74.82,25.18,101.53,1386
10,30,0.22,20.73,0.011,40.9,67.39,32.61,101.21,1386
5,200,0.2,20.73,0.01,34.87,74.89,25.11,101.11,1386
20,100,-0.01,20.73,-0.0,42.88,73.95,26.05,99.95,1386
30,200,-1.55,20.73,-0.075,60.05,73.88,26.12,91.76,1386
20,200,-2.28,20.73,-0.11,61.52,74.53,25.47,88.07,1386
20,30,-2.39,20.73,-0.116,40.25,66.23,33.77,87.52,1386
20,50,-3.14,20.73,-0.152,62.97,68.83,31.17,83.9,1386
30,50,-3.23,20.73,-0.156,68.59,68.25,31.75,83.5,1386
5,10,-3.76,20.73,-0.181,79.8,63.13,36.87,81.0,1386
50,100,-4.1,20.73,-0.198,64.26,73.67,26.33,79.42,1386
