MA_Fast,MA_Slow,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown,Time in Short %,Final Value ($100),Total Days
5,20,0.15,16.61,0.009,36.45,33.33,100.82,1386
10,100,-4.71,16.57,-0.284,51.82,27.71,76.69,1386
10,50,-4.81,16.72,-0.288,44.99,30.59,76.24,1386
10,20,-5.21,16.54,-0.315,45.98,32.47,74.52,1386
5,50,-5.98,17.02,-0.352,55.69,30.59,71.23,1386
5,30,-6.04,16.65,-0.363,49.48,32.11,70.98,1386
10,200,-6.3,15.91,-0.396,39.47,24.82,69.93,1386
5,100,-6.84,16.75,-0.409,50.17,27.56,67.71,1386
10,30,-6.99,16.53,-0.423,51.69,32.61,67.11,1386
5,200,-6.93,16.02,-0.432,41.01,25.11,67.39,1386
50,200,-5.42,12.42,-0.436,43.65,25.47,73.61,1386
20,100,-6.95,15.5,-0.448,46.53,26.05,67.3,1386
30,100,-6.66,14.37,-0.463,47.16,25.18,68.46,1386
100,200,-5.16,10.46,-0.493,27.39,25.9,74.74,1386
20,30,-8.22,16.54,-0.497,52.73,33.77,62.4,1386
20,50,-8.54,16.37,-0.522,55.03,31.17,61.19,1386
30,50,-8.54,16.05,-0.532,53.97,31.75,61.22,1386
5,10,-8.88,16.64,-0.533,69.78,36.87,59.97,1386
30,200,-7.42,13.68,-0.542,50.62,26.12,65.43,1386
20,200,-7.79,13.89,-0.561,52.78,25.47,64.0,1386
50,100,-8.57,13.2,-0.649,54.49,26.33,61.09,1386
