Date,Predicted_Strategy,Strategy_Probabilities
2018-02-20,ML_Strategy,0.77
2018-02-21,ML_Strategy,0.66
2018-02-22,ML_Strategy,0.72
2018-02-23,ML_Strategy,0.82
2018-02-26,ML_Strategy,0.96
2018-02-27,ML_Strategy,0.71
2018-02-28,ML_Strategy,0.68
2018-03-01,ML_Strategy,0.68
2018-03-02,ML_Strategy,0.86
2018-03-05,ML_Strategy,0.95
2018-03-06,ML_Strategy,0.89
2018-03-07,TCVS_Dynamic,0.85
2018-03-08,ML_Strategy,0.89
2018-03-09,ML_Strategy,0.86
2018-03-12,TCVS_Dynamic,0.83
2018-03-13,TCVS_Dynamic,0.95
2018-03-14,TCVS_Dynamic,0.96
2018-03-15,TCVS_Dynamic,0.9
2018-03-16,ML_Strategy,0.94
2018-03-19,TCVS_Dynamic,0.88
2018-03-20,ML_Strategy,0.92
2018-03-21,TCVS_Dynamic,0.96
2018-03-22,TCVS_Dynamic,0.99
2018-03-23,TCVS_Dynamic,0.98
2018-03-26,ML_Strategy,0.79
2018-03-27,TCVS_Dynamic,1.0
2018-03-28,TCVS_Dynamic,1.0
2018-03-29,MeanReversion,0.98
2018-04-02,TCVS_Dynamic,1.0
2018-04-03,MeanReversion,0.99
2018-04-04,MeanReversion,0.96
2018-04-05,MeanReversion,0.97
2018-04-06,TCVS_Dynamic,0.93
2018-04-09,MeanReversion,0.91
2018-04-10,MeanReversion,0.93
2018-04-11,TCVS_Dynamic,0.91
2018-04-12,MeanReversion,0.86
2018-04-13,TCVS_Dynamic,0.88
2018-04-16,ML_Strategy,0.87
2018-04-17,ML_Strategy,0.94
2018-04-18,ML_Strategy,0.94
2018-04-19,TCVS_Dynamic,0.94
2018-04-20,TCVS_Dynamic,0.88
2018-04-23,TCVS_Dynamic,0.81
2018-04-24,TCVS_Dynamic,0.86
2018-04-25,ML_Strategy,0.99
2018-04-26,ML_Strategy,0.94
2018-04-27,ML_Strategy,0.91
2018-04-30,TCVS_Dynamic,0.97
2018-05-01,ML_Strategy,0.84
2018-05-02,TCVS_Dynamic,0.98
2018-05-03,TCVS_Dynamic,0.95
2018-05-04,ML_Strategy,0.86
2018-05-07,ML_Strategy,0.86
2018-05-08,ML_Strategy,0.87
2018-05-09,ML_Strategy,0.83
2018-05-10,ML_Strategy,0.92
2018-05-11,ML_Strategy,0.92
2018-05-14,ML_Strategy,0.94
2018-05-15,TCVS_Dynamic,0.94
2018-05-16,ML_Strategy,0.85
2018-05-17,TCVS_Dynamic,0.95
2018-05-18,TCVS_Dynamic,0.96
2018-05-21,ML_Strategy,0.92
2018-05-22,TCVS_Dynamic,0.93
2018-05-23,ML_Strategy,0.9
2018-05-24,TCVS_Dynamic,0.91
2018-05-25,TCVS_Dynamic,0.97
2018-05-29,TCVS_Dynamic,0.95
2018-05-30,ML_Strategy,0.81
2018-05-31,Conservative_Strategy,0.76
2018-06-01,TCVS_Dynamic,0.8
2018-06-04,TCVS_Dynamic,0.94
2018-06-05,TCVS_Dynamic,0.81
2018-06-06,TCVS_Dynamic,0.84
2018-06-07,Conservative_Strategy,0.76
2018-06-08,TCVS_Dynamic,0.92
2018-06-11,TCVS_Dynamic,0.89
2018-06-12,TCVS_Dynamic,0.89
2018-06-13,TCVS_Dynamic,0.99
2018-06-14,ML_Strategy,0.93
2018-06-15,TCVS_Dynamic,0.89
2018-06-18,TCVS_Dynamic,0.91
2018-06-19,TCVS_Dynamic,0.98
2018-06-20,ML_Strategy,0.97
2018-06-21,TCVS_Dynamic,0.94
2018-06-22,ML_Strategy,0.96
2018-06-25,TCVS_Dynamic,0.95
2018-06-26,ML_Strategy,0.77
2018-06-27,TCVS_Dynamic,0.87
2018-06-28,ML_Strategy,0.71
2018-06-29,MeanReversion,0.58
2018-07-02,MeanReversion,0.74
2018-07-03,TCVS_Dynamic,0.97
2018-07-05,MeanReversion,0.89
2018-07-06,MeanReversion,0.94
2018-07-09,MeanReversion,0.86
2018-07-10,MeanReversion,0.68
2018-07-11,Conservative_Strategy,0.7
2018-07-12,TCVS_Dynamic,0.74
2018-07-13,TCVS_Dynamic,0.91
2018-07-16,Conservative_Strategy,0.75
2018-07-17,TCVS_Dynamic,0.85
2018-07-18,TCVS_Dynamic,0.93
2018-07-19,TCVS_Dynamic,0.89
2018-07-20,TCVS_Dynamic,0.89
2018-07-23,ML_Strategy,0.97
2018-07-24,ML_Strategy,0.97
2018-07-25,ML_Strategy,0.99
2018-07-26,TCVS_Dynamic,0.86
2018-07-27,TCVS_Dynamic,0.94
2018-07-30,TCVS_Dynamic,0.98
2018-07-31,ML_Strategy,0.84
2018-08-01,TCVS_Dynamic,0.94
2018-08-02,ML_Strategy,0.91
2018-08-03,ML_Strategy,0.82
2018-08-06,ML_Strategy,0.7
2018-08-07,TCVS_Dynamic,0.81
2018-08-08,TCVS_Dynamic,0.9
2018-08-09,TCVS_Dynamic,0.92
2018-08-10,TCVS_Dynamic,0.99
2018-08-13,TCVS_Dynamic,0.91
2018-08-14,ML_Strategy,0.93
2018-08-15,TCVS_Dynamic,0.87
2018-08-16,TCVS_Dynamic,0.79
2018-08-17,TCVS_Dynamic,0.89
2018-08-20,TCVS_Dynamic,0.84
2018-08-21,TCVS_Dynamic,0.81
