Date,Predicted_Strategy,Strategy_Probabilities
2024-07-26,MeanReversion,0.82
2024-07-29,ML_Strategy,0.52
2024-07-30,TCVS_Dynamic,0.89
2024-07-31,MeanReversion,0.72
2024-08-01,TCVS_Dynamic,0.94
2024-08-02,TCVS_Dynamic,0.95
2024-08-05,TCVS_Dynamic,0.93
2024-08-06,MeanReversion,0.81
2024-08-07,TCVS_Dynamic,0.95
2024-08-08,MeanReversion,0.81
2024-08-09,MeanReversion,0.87
2024-08-12,MeanReversion,0.83
2024-08-13,MeanReversion,0.79
2024-08-14,MeanReversion,0.78
2024-08-15,MeanReversion,0.43
2024-08-16,ML_Strategy,0.61
2024-08-19,ML_Strategy,0.75
2024-08-20,TCVS_Dynamic,0.7
2024-08-21,ML_Strategy,0.86
2024-08-22,TCVS_Dynamic,0.91
2024-08-23,ML_Strategy,0.9
2024-08-26,TCVS_Dynamic,0.8
2024-08-27,ML_Strategy,0.82
2024-08-28,TCVS_Dynamic,0.89
2024-08-29,ML_Strategy,0.64
2024-08-30,ML_Strategy,0.78
2024-09-03,TCVS_Dynamic,0.74
2024-09-04,TCVS_Dynamic,0.82
2024-09-05,TCVS_Dynamic,0.88
2024-09-06,TCVS_Dynamic,0.88
2024-09-09,MeanReversion,0.7
2024-09-10,MeanReversion,0.68
2024-09-11,MeanReversion,0.67
2024-09-12,MeanReversion,0.87
2024-09-13,MeanReversion,0.8
2024-09-16,ML_Strategy,0.67
2024-09-17,ML_Strategy,0.86
2024-09-18,TCVS_Dynamic,0.8
2024-09-19,ML_Strategy,0.84
2024-09-20,TCVS_Dynamic,0.9
2024-09-23,ML_Strategy,0.92
2024-09-24,ML_Strategy,0.93
2024-09-25,TCVS_Dynamic,0.94
2024-09-26,ML_Strategy,0.88
2024-09-27,TCVS_Dynamic,0.88
2024-09-30,ML_Strategy,0.93
2024-10-01,TCVS_Dynamic,0.89
2024-10-02,ML_Strategy,0.73
2024-10-03,TCVS_Dynamic,0.92
2024-10-04,ML_Strategy,0.79
2024-10-07,TCVS_Dynamic,0.87
2024-10-08,ML_Strategy,0.56
2024-10-09,ML_Strategy,0.7
2024-10-10,TCVS_Dynamic,0.68
2024-10-11,ML_Strategy,0.65
2024-10-14,ML_Strategy,0.88
2024-10-15,TCVS_Dynamic,0.81
2024-10-16,ML_Strategy,0.79
2024-10-17,ML_Strategy,0.65
2024-10-18,ML_Strategy,0.87
2024-10-21,TCVS_Dynamic,0.87
2024-10-22,TCVS_Dynamic,0.83
2024-10-23,TCVS_Dynamic,0.76
2024-10-24,ML_Strategy,0.7
2024-10-25,TCVS_Dynamic,0.73
2024-10-28,ML_Strategy,0.57
2024-10-29,ML_Strategy,0.62
2024-10-30,TCVS_Dynamic,0.9
